student_id,course_id,instructor_id,feedback_score,textual_review,attendance_rate,assignment_submission_rate,quiz_avg_score,exam_avg_score,lms_logins_past_month,avg_session_duration_minutes,forum_participation_count,video_completion_rate,instructor_response_time,risk_level
S1063,CSE202,I018,2.8,Very interactive and engaging class.,58,41,81,87,1,37,3,46,7,High
S1064,CSE202,I006,3.8,The lecture was clear but pace was fast.,71,63,39,84,3,47,9,74,71,Medium
S1065,MAT204,I011,2.6,Good explanations with real-life examples.,83,70,75,98,7,18,19,38,9,Medium
S1066,CSE202,I002,1.9,Good explanations with real-life examples.,95,66,57,76,31,35,11,42,16,High
S1067,CSE202,I019,3.4,The lecture was clear but pace was fast.,98,41,72,89,13,14,8,66,27,Medium
S1068,MAT204,I019,4.7,Very interactive and engaging class.,50,96,55,26,48,55,14,98,40,High
S1069,MAT204,I005,4.7,"Average experience, nothing special.",58,53,84,38,12,28,8,85,4,High
S1070,CSE101,I019,2.4,"Average experience, nothing special.",69,43,77,63,20,25,6,70,58,High
S1071,PHY110,I002,3.1,The lecture was clear but pace was fast.,68,88,58,82,23,52,11,47,11,Medium
S1072,PHY110,I010,1.8,"Slides were unclear, needs more clarity.",85,52,56,84,49,12,19,76,4,High
S1073,CSE202,I002,5.0,"Too many assignments, difficult to manage.",89,75,47,58,17,36,13,77,47,Medium
S1074,PHY110,I011,4.9,Great teaching style and support from instructor.,94,74,89,45,44,35,15,34,23,Medium
S1075,CSE202,I018,3.6,"Slides were unclear, needs more clarity.",53,83,98,63,39,38,18,35,68,High
S1076,CSE101,I015,4.2,"Average experience, nothing special.",58,93,50,31,25,27,2,66,66,High
S1077,MAT204,I009,3.9,"Too many assignments, difficult to manage.",90,94,53,41,31,29,10,82,20,Medium
S1078,MAT204,I019,3.4,Great teaching style and support from instructor.,71,47,32,96,43,11,19,31,63,Medium
S1079,MAT204,I009,1.2,Great teaching style and support from instructor.,67,41,91,33,32,23,18,62,58,High
S1080,PHY110,I003,2.8,Great teaching style and support from instructor.,61,45,31,49,30,11,7,48,14,Medium
S1081,CSE101,I009,3.7,Good explanations with real-life examples.,91,70,95,63,17,51,19,68,17,Low
S1082,PHY110,I014,3.7,Great teaching style and support from instructor.,92,93,71,57,34,12,7,22,17,Medium
S1083,PHY110,I019,2.5,Very interactive and engaging class.,88,49,63,78,11,18,2,88,53,Medium
S1084,CSE101,I007,4.8,The lecture was clear but pace was fast.,58,83,71,61,24,5,9,79,42,High
S1085,CSE101,I016,1.7,"Average experience, nothing special.",55,60,49,71,44,17,12,85,49,High
S1086,CSE101,I016,3.0,Very interactive and engaging class.,68,81,97,82,30,7,8,45,40,Medium
S1087,CSE101,I001,3.8,The lecture was clear but pace was fast.,97,49,74,80,9,57,5,90,14,Low
S1088,MAT204,I004,3.8,"Slides were unclear, needs more clarity.",96,62,71,53,46,32,14,93,5,Medium
S1089,ECE301,I004,3.6,"Slides were unclear, needs more clarity.",56,42,76,58,33,42,15,88,44,High
S1090,ECE301,I007,2.1,The lecture was clear but pace was fast.,65,71,34,60,2,55,4,66,47,High
S1091,CSE101,I008,1.6,Very interactive and engaging class.,54,59,78,56,45,19,12,95,48,High
S1092,ECE301,I017,3.5,The lecture was clear but pace was fast.,65,49,66,84,38,40,18,61,54,Medium
S1093,ECE301,I005,3.4,Great teaching style and support from instructor.,50,68,63,98,7,57,1,50,26,High
S1094,CSE101,I007,1.7,Good explanations with real-life examples.,100,80,99,51,31,7,5,41,42,High
S1095,ECE301,I020,3.8,"Average experience, nothing special.",86,91,47,27,42,8,0,36,4,High
S1096,PHY110,I020,2.8,"Slides were unclear, needs more clarity.",88,90,48,37,28,9,14,39,14,High
S1097,CSE202,I004,3.7,"Average experience, nothing special.",68,85,69,64,21,54,14,27,19,Medium
S1098,CSE202,I006,4.3,Good explanations with real-life examples.,86,73,46,52,19,30,13,68,38,Medium
S1099,CSE101,I007,1.7,Great teaching style and support from instructor.,66,76,89,24,5,29,6,57,44,High
S1100,MAT204,I018,1.1,Great teaching style and support from instructor.,75,59,71,93,42,14,4,72,35,High
S1101,CSE101,I005,4.1,"Slides were unclear, needs more clarity.",71,100,94,55,48,12,19,47,56,Medium
S1102,MAT204,I020,3.4,"Slides were unclear, needs more clarity.",57,100,82,42,28,16,15,96,53,High
S1103,CSE202,I003,3.8,Great teaching style and support from instructor.,82,47,36,59,41,58,16,48,37,Medium
S1104,CSE101,I007,4.4,"Too many assignments, difficult to manage.",51,46,34,24,16,7,10,91,55,High
S1105,PHY110,I014,4.2,"Average experience, nothing special.",79,45,53,53,30,31,14,30,60,Medium
S1106,ECE301,I007,4.8,Good explanations with real-life examples.,96,50,57,43,33,54,19,66,53,Medium
S1107,MAT204,I005,3.1,"Average experience, nothing special.",69,83,91,36,37,27,15,64,20,High
S1108,ECE301,I005,3.0,Good explanations with real-life examples.,67,57,46,90,36,44,2,37,13,Medium
S1109,ECE301,I002,2.6,"Too many assignments, difficult to manage.",92,90,49,100,3,37,5,69,12,Medium
S1110,CSE101,I006,1.6,Very interactive and engaging class.,59,81,32,41,1,18,12,68,49,High
S1111,ECE301,I015,3.3,Good explanations with real-life examples.,73,96,66,34,11,58,0,41,17,High
S1112,PHY110,I010,2.1,"Average experience, nothing special.",53,68,44,34,34,27,13,64,48,High
S1113,ECE301,I007,4.7,The lecture was clear but pace was fast.,86,64,80,44,5,35,1,80,68,Medium
S1114,CSE101,I005,3.3,Great teaching style and support from instructor.,53,60,77,72,45,17,1,40,32,High
S1115,PHY110,I001,3.4,Great teaching style and support from instructor.,62,85,37,40,7,16,14,90,9,Medium
S1116,CSE202,I013,2.4,"Too many assignments, difficult to manage.",74,42,42,85,20,39,17,80,62,High
S1117,ECE301,I018,1.2,Good explanations with real-life examples.,62,57,77,51,45,22,8,95,45,High
S1118,CSE101,I013,1.1,Very interactive and engaging class.,67,63,32,40,34,25,2,55,51,High
S1119,CSE202,I018,2.7,Good explanations with real-life examples.,73,86,94,87,47,49,3,43,36,Medium
S1120,CSE202,I005,1.3,Great teaching style and support from instructor.,51,77,60,63,14,51,14,51,62,High
S1121,MAT204,I013,3.4,"Slides were unclear, needs more clarity.",97,49,55,85,6,46,4,78,56,Medium
S1122,PHY110,I004,4.5,The lecture was clear but pace was fast.,82,66,85,33,14,5,19,94,67,High
S1123,ECE301,I017,4.5,"Too many assignments, difficult to manage.",68,51,63,34,44,42,19,24,15,High
S1124,CSE101,I003,3.6,"Slides were unclear, needs more clarity.",58,46,38,39,5,45,4,35,5,High
S1125,MAT204,I017,1.8,"Average experience, nothing special.",77,56,91,53,46,46,9,30,18,High
S1126,PHY110,I011,4.5,Very interactive and engaging class.,84,40,42,55,16,51,15,54,70,Medium
S1127,MAT204,I020,4.5,"Slides were unclear, needs more clarity.",88,97,98,28,3,13,11,94,25,High
S1128,PHY110,I004,1.8,"Average experience, nothing special.",59,89,70,90,21,27,13,61,50,High
S1129,PHY110,I002,3.9,"Slides were unclear, needs more clarity.",50,65,30,49,31,18,10,100,56,High
S1130,ECE301,I020,2.1,Very interactive and engaging class.,91,54,76,96,21,15,18,29,24,High
S1131,PHY110,I016,4.2,"Slides were unclear, needs more clarity.",70,90,33,82,26,11,5,27,13,Medium
S1132,MAT204,I018,5.0,"Too many assignments, difficult to manage.",58,99,92,54,45,35,9,45,12,High
S1133,PHY110,I008,1.1,Great teaching style and support from instructor.,96,72,81,32,14,28,19,22,30,High
S1134,ECE301,I003,4.6,Good explanations with real-life examples.,64,76,39,98,43,30,2,78,63,Medium
S1135,ECE301,I009,3.5,"Slides were unclear, needs more clarity.",84,86,57,65,21,34,14,22,54,Low
S1136,MAT204,I020,4.9,"Too many assignments, difficult to manage.",54,70,35,75,27,38,10,57,49,High
S1137,CSE202,I006,2.9,Good explanations with real-life examples.,90,74,56,28,41,50,1,21,67,High
S1138,CSE202,I010,4.4,"Average experience, nothing special.",71,40,41,55,37,42,5,36,49,Medium
S1139,PHY110,I010,1.2,Good explanations with real-life examples.,90,47,91,22,8,9,16,92,60,High
S1140,CSE101,I013,2.3,"Average experience, nothing special.",72,51,81,38,33,9,17,55,58,High
S1141,PHY110,I017,1.3,"Slides were unclear, needs more clarity.",56,98,77,47,35,23,3,92,4,High
S1142,MAT204,I009,4.9,"Too many assignments, difficult to manage.",72,93,96,42,8,55,8,21,33,Medium
S1143,MAT204,I017,4.3,Great teaching style and support from instructor.,93,96,75,26,14,42,9,53,9,High
S1144,MAT204,I009,4.4,"Slides were unclear, needs more clarity.",74,58,44,95,44,32,1,46,31,Medium
S1145,MAT204,I009,4.8,"Average experience, nothing special.",76,64,100,33,19,30,10,56,16,High
S1146,MAT204,I001,1.3,Very interactive and engaging class.,90,96,65,65,7,46,10,90,56,High
S1147,ECE301,I002,2.5,Good explanations with real-life examples.,55,71,43,34,27,27,10,41,39,High
S1148,CSE202,I016,1.3,"Slides were unclear, needs more clarity.",83,51,32,86,18,50,0,87,16,High
S1149,MAT204,I001,1.8,"Average experience, nothing special.",58,52,96,34,15,53,13,33,31,High
S1150,CSE101,I010,1.9,Good explanations with real-life examples.,98,67,48,70,10,34,0,42,47,High
S1151,CSE101,I018,2.9,"Average experience, nothing special.",82,40,83,27,41,7,8,63,65,High
S1152,CSE101,I008,2.1,"Too many assignments, difficult to manage.",100,90,98,88,7,32,0,84,27,High
S1153,CSE101,I011,1.4,The lecture was clear but pace was fast.,55,45,39,81,32,37,3,98,68,High
S1154,ECE301,I002,1.7,"Slides were unclear, needs more clarity.",86,47,62,70,9,46,0,97,37,High
S1155,CSE101,I008,1.6,Great teaching style and support from instructor.,80,43,42,82,17,7,18,80,32,High
S1156,MAT204,I008,4.9,"Slides were unclear, needs more clarity.",83,44,80,87,34,9,9,74,41,Low
S1157,PHY110,I017,4.0,Good explanations with real-life examples.,90,64,61,97,42,23,14,90,47,Low
S1158,CSE101,I015,4.9,"Too many assignments, difficult to manage.",78,61,53,35,49,46,19,69,43,High
S1159,ECE301,I017,2.8,"Average experience, nothing special.",63,67,64,43,2,52,3,31,19,Medium
S1160,ECE301,I013,2.1,Very interactive and engaging class.,85,78,99,25,39,5,19,98,37,High
S1161,CSE101,I019,4.2,Great teaching style and support from instructor.,85,62,69,76,26,42,13,34,51,Low
S1162,PHY110,I005,2.3,"Too many assignments, difficult to manage.",64,43,83,50,27,13,4,36,62,High
S1163,CSE101,I012,2.2,"Slides were unclear, needs more clarity.",57,91,73,25,45,9,14,53,41,High
S1164,ECE301,I001,1.9,Very interactive and engaging class.,75,43,91,98,5,50,14,54,4,High
S1165,CSE202,I005,1.5,"Too many assignments, difficult to manage.",85,86,97,48,46,46,15,58,8,High
S1166,MAT204,I008,2.0,The lecture was clear but pace was fast.,97,98,62,86,13,38,15,97,32,High
S1167,ECE301,I013,2.4,Great teaching style and support from instructor.,70,60,85,94,6,41,3,74,66,High
S1168,CSE101,I008,3.7,Good explanations with real-life examples.,77,76,65,22,9,37,8,78,65,High
S1169,MAT204,I011,1.3,"Too many assignments, difficult to manage.",53,95,83,47,14,29,0,24,4,High
S1170,CSE101,I001,1.8,"Too many assignments, difficult to manage.",65,80,48,93,30,46,4,49,36,High
S1171,CSE101,I013,4.2,The lecture was clear but pace was fast.,71,41,72,67,28,33,8,23,16,Medium
S1172,CSE202,I019,1.6,"Slides were unclear, needs more clarity.",61,98,41,99,41,29,19,34,22,High
S1173,MAT204,I003,2.4,"Average experience, nothing special.",65,46,40,29,16,58,4,54,63,High
S1174,MAT204,I017,4.5,"Average experience, nothing special.",100,88,99,52,28,13,3,93,29,Medium
S1175,CSE202,I005,1.6,Great teaching style and support from instructor.,89,55,41,86,48,7,15,74,5,High
S1176,ECE301,I020,1.3,Great teaching style and support from instructor.,87,56,70,88,43,19,1,85,14,High
S1177,CSE101,I008,2.9,Good explanations with real-life examples.,91,59,54,31,14,8,15,79,52,High
S1178,PHY110,I014,2.2,"Too many assignments, difficult to manage.",86,97,32,76,25,49,17,43,49,High
S1179,CSE101,I004,3.3,Very interactive and engaging class.,78,62,32,63,11,42,1,41,40,Medium
S1180,CSE101,I011,4.2,"Too many assignments, difficult to manage.",67,73,57,32,24,24,15,63,68,High
S1181,ECE301,I020,1.5,"Average experience, nothing special.",59,50,52,43,40,53,0,51,59,High
S1182,CSE101,I015,3.3,Good explanations with real-life examples.,91,73,77,63,4,27,15,70,3,Medium
S1183,CSE202,I019,3.0,"Too many assignments, difficult to manage.",88,72,96,76,3,41,2,22,26,Medium
S1184,CSE202,I007,1.6,The lecture was clear but pace was fast.,67,65,71,35,43,51,14,89,12,High
S1185,MAT204,I019,3.5,"Average experience, nothing special.",50,41,69,40,47,12,10,51,2,High
S1186,PHY110,I019,2.1,"Too many assignments, difficult to manage.",88,100,35,95,40,41,9,21,49,High
S1187,CSE101,I011,3.0,"Too many assignments, difficult to manage.",70,62,49,70,30,49,16,78,49,Medium
S1188,CSE101,I005,1.3,"Average experience, nothing special.",50,80,40,40,2,37,3,92,11,High
S1189,ECE301,I005,2.8,Very interactive and engaging class.,64,61,56,79,2,37,16,96,31,Medium
S1190,CSE202,I008,2.2,"Average experience, nothing special.",53,97,50,70,25,11,3,33,36,High
S1191,PHY110,I010,4.3,The lecture was clear but pace was fast.,69,73,42,40,49,26,18,70,20,Medium
S1192,MAT204,I006,1.2,The lecture was clear but pace was fast.,59,99,64,25,16,9,0,30,54,High
S1193,CSE202,I015,2.7,"Too many assignments, difficult to manage.",72,54,76,92,9,50,13,97,35,Medium
S1194,MAT204,I016,2.8,Great teaching style and support from instructor.,90,49,57,84,1,19,10,99,33,Medium
S1195,ECE301,I017,3.9,Very interactive and engaging class.,83,54,50,95,23,25,6,29,7,Low
S1196,ECE301,I008,3.3,"Too many assignments, difficult to manage.",95,81,47,77,10,29,16,99,14,Medium
S1197,CSE101,I008,3.7,"Average experience, nothing special.",97,68,60,97,23,21,3,77,65,Low
S1198,PHY110,I009,4.1,"Too many assignments, difficult to manage.",82,96,89,25,34,54,9,53,8,High
S1199,MAT204,I002,4.4,Good explanations with real-life examples.,83,62,66,84,22,11,16,99,46,Low
S1200,CSE202,I015,2.3,Good explanations with real-life examples.,88,98,50,53,31,58,3,97,46,High
S1201,ECE301,I018,3.2,Great teaching style and support from instructor.,59,56,43,75,22,54,18,72,66,High
S1202,CSE101,I003,4.4,Very interactive and engaging class.,69,99,89,94,33,23,17,47,20,Medium
S1203,CSE101,I017,5.0,"Slides were unclear, needs more clarity.",50,48,52,22,40,56,16,37,48,High
S1204,MAT204,I004,4.6,Good explanations with real-life examples.,62,89,58,61,18,11,5,45,47,Medium
S1205,ECE301,I004,2.5,"Slides were unclear, needs more clarity.",50,75,76,81,1,44,6,26,30,High
S1206,PHY110,I014,1.8,The lecture was clear but pace was fast.,54,48,59,25,1,49,5,64,62,High
S1207,ECE301,I009,3.0,Good explanations with real-life examples.,65,55,67,25,14,54,11,64,66,High
S1208,MAT204,I009,4.0,Good explanations with real-life examples.,64,75,56,82,20,28,8,90,24,Medium
S1209,MAT204,I018,3.0,Very interactive and engaging class.,98,87,44,39,34,15,17,54,52,High
S1210,ECE301,I010,2.9,Great teaching style and support from instructor.,77,90,88,40,4,45,1,71,64,Medium
S1211,MAT204,I004,4.4,"Slides were unclear, needs more clarity.",80,72,32,21,42,59,16,40,23,High
S1212,ECE301,I012,2.4,"Average experience, nothing special.",72,94,39,75,26,5,0,47,34,High
S1213,CSE202,I008,4.4,Good explanations with real-life examples.,97,70,46,29,23,58,8,63,45,High
S1214,ECE301,I002,2.6,Good explanations with real-life examples.,94,45,40,89,6,36,5,99,8,Medium
S1215,ECE301,I013,2.3,Very interactive and engaging class.,92,49,77,42,5,44,1,75,3,High
S1216,MAT204,I016,2.8,Very interactive and engaging class.,66,55,34,49,45,57,5,29,18,Medium
S1217,MAT204,I002,4.0,Great teaching style and support from instructor.,98,43,98,97,32,48,8,42,66,Low
S1218,CSE101,I011,1.5,"Slides were unclear, needs more clarity.",83,93,93,56,48,6,2,67,59,High
S1219,CSE101,I010,1.8,The lecture was clear but pace was fast.,62,61,43,74,16,19,15,71,31,High
S1220,CSE202,I015,4.8,"Average experience, nothing special.",63,52,79,68,45,25,14,34,27,Medium
S1221,CSE101,I017,1.7,Great teaching style and support from instructor.,60,55,55,53,41,28,11,74,36,High
S1222,ECE301,I008,3.3,The lecture was clear but pace was fast.,77,91,98,63,29,54,7,62,64,Medium
S1223,MAT204,I018,3.3,"Too many assignments, difficult to manage.",91,68,36,41,7,21,5,69,29,Medium
S1224,CSE101,I009,3.0,Good explanations with real-life examples.,81,45,45,50,39,51,2,25,26,Medium
S1225,CSE101,I008,3.6,"Slides were unclear, needs more clarity.",84,65,84,26,45,56,3,52,62,High
S1226,CSE202,I014,1.9,Great teaching style and support from instructor.,80,50,85,40,6,56,9,81,32,High
S1227,CSE202,I018,3.2,Good explanations with real-life examples.,66,63,33,35,5,13,13,74,55,High
S1228,ECE301,I020,2.5,"Slides were unclear, needs more clarity.",96,68,77,39,3,39,14,58,68,High
S1229,MAT204,I020,3.6,"Slides were unclear, needs more clarity.",58,42,46,62,0,24,6,31,52,High
S1230,CSE202,I012,1.6,"Slides were unclear, needs more clarity.",59,91,65,63,14,23,6,50,59,High
S1231,CSE101,I019,3.3,Good explanations with real-life examples.,57,49,99,66,30,22,7,93,35,High
S1232,MAT204,I014,1.7,Great teaching style and support from instructor.,70,100,67,38,24,24,9,72,60,High
S1233,MAT204,I017,2.1,"Average experience, nothing special.",62,99,91,67,46,34,18,53,22,High
S1234,CSE101,I003,1.9,Very interactive and engaging class.,99,40,77,98,32,44,18,60,57,High
S1235,CSE202,I007,1.7,Good explanations with real-life examples.,54,91,39,88,34,5,1,29,38,High
S1236,CSE101,I017,4.3,"Slides were unclear, needs more clarity.",55,82,65,30,4,28,14,71,65,High
S1237,MAT204,I012,2.1,Great teaching style and support from instructor.,79,65,58,98,4,28,0,94,20,High
S1238,PHY110,I009,4.7,"Average experience, nothing special.",80,97,33,48,35,51,9,76,54,Medium
S1239,PHY110,I015,4.9,"Too many assignments, difficult to manage.",66,51,73,64,16,23,5,97,64,Medium
S1240,ECE301,I018,3.3,The lecture was clear but pace was fast.,60,53,85,87,13,34,12,22,63,Medium
S1241,CSE101,I013,1.6,"Slides were unclear, needs more clarity.",69,64,71,55,28,30,9,76,20,High
S1242,CSE101,I008,2.5,"Too many assignments, difficult to manage.",97,47,42,67,7,46,11,52,3,Medium
S1243,ECE301,I014,4.2,Very interactive and engaging class.,58,82,75,34,33,48,5,26,7,High
S1244,ECE301,I008,2.5,"Average experience, nothing special.",51,43,62,63,39,42,5,23,30,High
S1245,ECE301,I014,1.3,"Average experience, nothing special.",86,67,50,86,0,33,0,58,42,High
S1246,MAT204,I007,3.2,"Slides were unclear, needs more clarity.",50,46,86,93,28,17,11,67,52,High
S1247,CSE101,I012,4.4,"Average experience, nothing special.",53,49,98,59,35,8,9,93,6,High
S1248,MAT204,I011,4.2,"Too many assignments, difficult to manage.",85,90,99,33,36,49,13,98,42,High
S1249,ECE301,I011,1.7,"Slides were unclear, needs more clarity.",74,96,96,82,28,21,14,35,63,High
S1250,CSE101,I013,3.7,Good explanations with real-life examples.,52,97,77,100,4,37,3,57,31,High
S1251,MAT204,I018,1.9,Great teaching style and support from instructor.,58,75,62,70,31,9,0,23,63,High
S1252,MAT204,I002,1.9,"Too many assignments, difficult to manage.",71,41,65,98,23,32,7,23,28,High
S1253,ECE301,I015,4.5,Great teaching style and support from instructor.,72,65,62,77,18,28,2,46,51,Medium
S1254,CSE101,I020,2.0,Good explanations with real-life examples.,61,92,60,34,11,21,13,36,53,High
S1255,ECE301,I018,2.1,Good explanations with real-life examples.,59,89,50,84,0,54,16,89,50,High
S1256,CSE101,I015,1.0,Great teaching style and support from instructor.,83,53,56,74,6,43,1,73,63,High
S1257,PHY110,I019,4.5,"Too many assignments, difficult to manage.",92,97,91,95,16,52,14,27,61,Low
S1258,CSE202,I012,4.2,Great teaching style and support from instructor.,59,55,55,29,33,44,5,72,55,High
S1259,CSE202,I013,3.5,Great teaching style and support from instructor.,79,93,95,61,42,48,4,24,6,Low
S1260,CSE202,I011,4.0,The lecture was clear but pace was fast.,71,82,41,30,6,50,13,88,10,High
S1261,ECE301,I005,1.6,"Too many assignments, difficult to manage.",55,81,51,35,16,55,18,66,35,High
S1262,PHY110,I001,2.8,The lecture was clear but pace was fast.,99,56,46,92,2,15,8,93,37,Medium
S1263,CSE101,I003,2.4,"Slides were unclear, needs more clarity.",51,85,36,97,28,16,7,59,21,High
S1264,MAT204,I019,1.4,"Average experience, nothing special.",79,61,97,38,21,17,2,26,64,High
S1265,CSE101,I007,2.9,Great teaching style and support from instructor.,51,43,66,50,37,12,17,31,68,High
S1266,MAT204,I012,4.7,"Slides were unclear, needs more clarity.",81,58,67,92,42,5,7,44,31,Low
S1267,CSE101,I015,1.2,"Too many assignments, difficult to manage.",91,41,40,72,28,13,15,47,70,High
S1268,PHY110,I005,2.2,Great teaching style and support from instructor.,65,78,30,27,49,32,14,62,71,High
S1269,MAT204,I015,1.8,"Average experience, nothing special.",61,48,54,43,49,6,14,96,4,High
